id_status|status|description
1|ST_CASE_VERIFICATION_COMPLETE|Verificación finalizada
2|ST_CASE_TECHNICAL_REVIEW_COMPLETE|Opinión técnica finalizada
3|ST_CASE_MEETING|Entrevista de riesgos procesales
4|ST_CASE_HEARING_FORMAT_END|Formato de audiencia finalizado.
5|ST_CASE_SOURCE_VALIDATION|Validación de fuentes
6|ST_CASE_FRAMING_MEETING_INCOMPLETE|Entrevista de encuadre incompleta.
7|ST_CASE_FRAMING_MEETING_COMPLETE|Entrevista de encuadre completa.
8|ST_CASE_CONDITIONAL_REPRIEVE|Nuevo caso por suspensión condicional de proceso.
9|ST_CASE_VERIFICATION|En verificación
10|ST_CASE_PRE_CLOSED|Pre-cerrado por vinculación a proceso NO.
11|ST_CASE_CLOSED|Cerrado.
12|ST_CASE_REQUEST|En solicitud pendiente
13|ST_CASE_EDIT_TEC_REV|Edición de opinión técnica autorizada
14|ST_CASE_OBSOLETE|Caso eliminado
